-1	3
-1005	1
-10137	1
-1018	1
-1043	2
-105	1
-1061	1
-10732	1
-108	1
-1080	1
-1098	1
-1106	1
-1123	1
-1137	1
-11508	1
-11510	1
-1154	1
-116	1
-1176	1
-1192	1
-1233	1
-125	1
-1252	1
-12578	1
-130	1
-1304	1
-1316	1
-13245	1
-1327	1
-13309	1
-13364	1
-13610	1
-139	1
-141	1
-14245	1
-146	1
-1460	1
-15042	1
-1525	1
-1549	1
-1562	1
-15649	1
-1566	1
-15820	1
-16	1
-1602	1
-1612	1
-162	1
-1684	1
-1685	1
-16926	1
-17045	1
-1739	1
-1751	1
-17695	1
-17845	1
-1786	1
-1848	1
-1912	1
-1948	1
-1955	1
-19634	1
-1974	1
-19957	1
-19998	1
-2008	1
-2041	1
-20511	1
-2072	1
-210	1
-21158	1
-2130	1
-2160	1
-225	1
-2266	1
-2281	1
-22885	1
-2351	1
-2365	1
-2381	1
-2441	1
-2444	1
-253	1
-2641	1
-2659	1
-2690	1
-2700	1
-273	1
-2749	1
-275	1
-2810	1
-29	1
-2986	1
-3005	1
-30673	1
-308	1
-31	1
-310	1
-3198	1
-3249	1
-3254	1
-328	1
-3348	1
-3375	1
-343	1
-348	1
-35	1
-3576	1
-3604	1
-3617	1
-363	1
-37	1
-37480	1
-378	1
-379	1
-39	1
-3915	1
-3949	1
-4001	1
-4012	1
-410	2
-4107	1
-411	1
-423	1
-4458	1
-45	1
-46	2
-460	1
-461	1
-4622	1
-463	1
-464	1
-4681	1
-4764	1
-4786	1
-4897	1
-491	1
-495	1
-4971	1
-498	1
-50	1
-5002	1
-5010	1
-504	1
-5222	1
-525	1
-541	1
-5667	1
-5673	1
-570	1
-572	1
-576	1
-5785	1
-581	1
-5967	1
-598	1
-5994	1
-6010	1
-622	1
-623	1
-63	1
-633	1
-64	1
-645	2
-65	1
-658	1
-661	1
-662	1
-668	1
-677	1
-6854	1
-691	1
-6928	1
-700	1
-706	1
-716	1
-718	1
-719	1
-7207	1
-725	1
-730	1
-735	1
-740	1
-7468	1
-75	1
-752	1
-755	1
-779	1
-7850	1
-791	1
-793	1
-81	2
-814	1
-820	1
-823	1
-83	1
-837	1
-843	1
-8464	1
-8516	1
-860	1
-868	1
-8699	1
-874	1
-889	1
-9001	1
-909	1
-91	1
-921	1
-9236	1
-93	1
-937	1
-949	1
-96	1
-9648	1
-9709	1
-972	1
-9753	1
-9774	1
-978	1
-985	1
-990	1
-991	1
10	1
10439	1
111887	1
13219	1
1417	1
14244	1
15219	1
169312	1
17435	1
17743	1
18214	1
21504	1
22438	1
22780	1
230	1
25546	1
26457	1
27858	1
28714	1
3	1
32739	1
33744	1
41235	1
4267	1
46028	1
4823	1
5	1
5235	1
6726	1
68695	1
7030	1
7090	1
8688	1
